TYPE	SOURCE	INDEX	NAME	ECFORM	SIZE	PARAMETERS	
MIN	THCv9b0	_0528	HMontmorillonite-BCCa	Si(400)Al(166)Mg(34)Ca(17)O(1645)H(1090)Div(100)	216	-2.2	
MIN	THCv9b0	_0529	HMontmorillonite-BCK	Si(400)Al(166)Mg(34)K(34)O(1396)H(592)Div(100)	170.1	-2.09	
MIN	THCv9b0	_0530	HMontmorillonite-BCMg	Si(400)Al(166)Mg(51)O(1661)H(1122)Div(100)	214.1	-2.35	
MIN	THCv9b0	_0531	HMontmorillonite-BCNa	Si(400)Al(166)Mg(34)Na(34)O(1584)H(968)Div(100)	203.4	-1.79	
MIN	THCv9b0	_0532	HMontmorillonite-HCCa	Si(400)Al(140)Mg(60)Ca(30)O(1645)H(1090)Div(100)	220.8	-6.18	
MIN	THCv9b0	_0533	HMontmorillonite-HCK	Si(400)Al(140)Mg(60)K(60)O(1396)H(592)Div(100)	174.2	-4.26	
MIN	THCv9b0	_0534	HMontmorillonite-HCMg	Si(400)Al(140)Mg(90)O(1661)H(1122)Div(100)	215.2	-6.5	
MIN	THCv9b0	_0535	HMontmorillonite-HCNa	Si(400)Al(140)Mg(60)Na(60)O(1584)H(968)Div(100)	206.9	-4.56	
MIN	THCv9b0	_0536	HNontronite-Ca	Si(366)Al(67)Fe(167)Ca(17)O(1645)H(1090)Div(100)	214.2	17	
MIN	THCv9b0	_0537	HNontronite-K	Si(366)Al(67)Fe(167)K(34)O(1396)H(592)Div(100)	168.3	16.87	
MIN	THCv9b0	_0538	HNontronite-Mg	Si(366)Al(67)Fe(167)Mg(17)O(1661)H(1122)Div(100)	212.7	16.7	
MIN	THCv9b0	_0539	HNontronite-Na	Si(366)Al(67)Fe(167)Na(34)O(1584)H(968)Div(100)	201.6	17.26	
MIN	THCv9b0	_0540	HSaponite-Ca	Si(366)Al(34)Mg(300)Ca(17)O(1645)H(1090)Div(100)	223	-28.39	
MIN	THCv9b0	_0541	HSaponite-FeCa	Si(366)Al(34)Fe(100)Mg(200)Ca(17)O(1645)H(1090)Div(100)	225.6	-27.98	
MIN	THCv9b0	_0542	HSaponite-FeK	Si(366)Al(34)Fe(100)Mg(200)K(34)O(1396)H(592)Div(100)	179.7	-28.11	
MIN	THCv9b0	_0543	HSaponite-FeMg	Si(366)Al(34)Fe(100)Mg(217)O(1661)H(1122)Div(100)	223.8	-28.07	
MIN	THCv9b0	_0544	HSaponite-FeNa	Si(366)Al(34)Fe(100)Mg(200)Na(34)O(1584)H(968)Div(100)	213	-27.72	
MIN	THCv9b0	_0545	HSaponite-K	Si(366)Al(34)Mg(300)K(34)O(1396)H(592)Div(100)	177.1	-28.52	
MIN	THCv9b0	_0546	HSaponite-Mg	Si(366)Al(34)Mg(317)O(1661)H(1122)Div(100)	221.1	-28.51	
MIN	THCv9b0	_0547	HSaponite-Na	Si(366)Al(34)Mg(300)Na(34)O(1584)H(968)Div(100)	210.4	-28.13	
MIN	THCv9b0	_0548	HVermiculite-Ca	Si(314)Al(86)Mg(300)Ca(43)O(1645)H(1090)Div(100)	219.4	-97.85	
MIN	THCv9b0	_0549	HVermiculite-K	Si(314)Al(86)Mg(300)K(86)O(1396)H(592)Div(100)	175.5	-87.71	
MIN	THCv9b0	_0550	HVermiculite-Mg	Si(314)Al(86)Mg(343)O(1661)H(1122)Div(100)	222.2	-68.21	
MIN	THCv9b0	_0551	HVermiculite-Na	Si(314)Al(86)Mg(300)Na(86)O(1584)H(968)Div(100)	210.1	-96.55	
MIN	THCv9b0	_0552	Halite	Na(1)Cl(1)	1	-1.59	
MIN	THCv9b0	_0553	Halloysite	Si(2)Al(2)O(9)H(4)	1	-10.32	
